utt,y
i am looking for a restaurant . the restaurant should serve value_food food and should be in the value_pricerange price range,3
"could i book through you a table at the restaurant_name for value_people on value_time this value_day , as well as get the reference number for the restaurant_name ?",5
"i am in the mood for value_food food , please .",3
great that is all i need . thanks .,2
"will do ! thank you , hope you have an amazing day as well .",2
are there any value_food restaurant -s in cambridge ?,3
if 1 of them has a value_pricerange price range please give me that address . if not tell me about value_food restaurant -s instead .,4
actually i need a value_pricerange -ly priced restaurant . are there any fitting that description ?,3
"yes , i need a reservation for value_people people at value_time on value_day .",5
i am looking for a place to dine . the restaurant should serve value_food food and should be in the value_area,3
what restaurant -s are value_pricerange ?,3
how about 1 that serves value_food food ?,4
"that is all i need , thank you .",2
i am looking for a restaurant . the restaurant should be in the value_area and should serve value_food food,3
what about value_food foods ?,4
"yes , i want a reservation for value_people people at value_time on value_day .",5
ok . ill check latter,3
what is the address for find restaurant_name ?,1
"thank you , can you book a table for value_people on value_day at 1800",5
thank you for the help .,2
i am looking for a place to dine . the restaurant should be in the value_area and should be in the value_pricerange price range,3
i do not care book a table for value_people people at value_time on value_day .,5
cool thank you . i am all set for now .,2
i am looking for a restaurant . the restaurant should serve value_food food and should be in the value_pricerange price range,3
"thanks , that s all . goodbye .",2
"no , i just realized i'll be in the value_area area . are there any that meet my criteria in the value_area ?",3
yes could you book me a table for value_people value_day at value_time ?,5
i am looking for a restaurant that is in the value_area of town and serves value_food food .,3
do you have any value_pricerange restaurant -s ?,3
"could you try value_food food , instead ?",4
that sounds good . can you book a table for value_people people at value_time on value_day please ?,5
"yes , how about value_time instead . i also need the reference number .",6
thank you for your help .,2
no that was all . thank you,2
i would like to find a place that i can get some northern value_food food .,3
"okay , what about a restaurant that serves value_food food ?",4
"i am looking for the value_pricerange price range , the area does not matter .",3
what s the post code and phone number of de luca cucina ?,1
"i need you to help me find an value_pricerange restaurant to dine in , i would like it to be value_food food .",3
"no , i just need the address , postcode and phone number . thanks !",2
"that s all i need . thanks , goodbye .",2
"i am looking for somewhere to eat in the value_area part of town , somewhere nice , price is no object .",3
i would like the restaurant to have value_food food .,3
that sounds good . i would like to book a table for value_people people on value_day at value_time .,5
"okay , until then . have a good 1 , goodbye .",2
i would . it s a party of value_people for value_day at value_time . can i get the reference number when you are done ?,5
"no , that s everything . thanks for your help .",2
i am looking for 1 that serves value_food food .,3
"no , i just need the address of 1 of them .",1
"no , i think i have everything i need . thanks !",2
great day too,3
i am looking for a place to dine . the restaurant should be in the value_pricerange price range and should serve value_food food .,3
"yes , i need the reservation to be for value_people people on value_day at value_time .",5
"thank you , can i get the reference number ?",1
if the booking fails how about value_day .,6
okay that s all . bye .,2
can you tell me the price range ?,1
"thanks , can i get the address and phone number ?",1
"no , that is ok . thank you for all your help today .",2
"thank you , goodbye .",2
i am looking for a place to dine in the value_area .,3
is there any where that serves value_food food ?,3
is there any where in the value_area that serves value_food food ?,4
i would like something in the value_pricerange price range .,3
book either for me,5
can we do value_day at value_time ?,5
i would like to eat at an value_pricerange value_food food restaurant,3
"great , can you book me a table for value_people at value_time on value_day ?",5
"sure , that would work .",3
how about value_time ?,6
i am looking for a restaurant in the value_area .,3
i do not have a price range but i am looking for value_food cuisine . is that possible ?,1
how about value_food food ?,4
"thanks , will you please book a table for value_people people on value_day at value_time ?",5
please try booking at 1200hrs and get me the reference number,5
"nope , that should be everything . thank you so much for all of your help .",2
hello can i find a place that serves value_food food and has value_pricerange price range for my family,3
i want a restuarant that i can book a table for value_people people on value_day 1300hrs,5
"yes , please . for value_people people at value_time on value_day .",5
"how about value_day , same time .",6
"no , that s all i need . thank you !",2
"hi , i need a recommendation for a restaurant in town .",3
is there a yelp rating for the restaurant ?,3
ok . book what you deem best and get me the reference number .,5
"the reservation is just for me this value_day at value_time , please .",5
"yes , i would like a reservation for the restaurant_name , for value_people person at value_time this value_day . please give me the reference number as well .",5
"that is all , thank you .",2
is there a value_food restaurant in the value_area ?,3
"sure , what else is there ?",0
how about value_food food ?,3
why do not we try for value_food food instead,4
of course i'll need that .,3
that is it . thanks,2
am looking for a place to dine it should be in the value_area and should be in the value_pricerange price range,3
"yes , i am looking for a restaurant that offers value_food options .",3
"yes , how about value_pricerange value_food food in the value_area of town ?",4
"yes , please reserve a table for value_people on value_day at value_time .",5
"okay , how about the same time for value_day ?",6
could you try another value_pricerange value_food restaurant in the value_area ? i would really like to dine on value_day .,5
is the restaurant_name restaurant available for value_day same time ?,6
"thanks , that s all i need . goodbye .",2
i want a reservation that has value_pricerange price range and should be in the value_area,5
i want value_food food,3
can you help me find a restaurant called restaurant_name ?,3
"thanks , will you please get me a reservation for value_people people at value_time on value_day there ?",5
can you help me find some value_pricerange value_food food ?,3
thanks for your help . can i get their phone number and other info as well ?,1
"that s , that s all i need . goodbye .",2
"i am trying to find information on a particular restaurant , it is called restaurant_name .",1
what kind of food do they serve there ?,1
"no , that is all i need . thank you .",2
i am looking for a restaurant . the restaurant should be in the value_area and should be in the value_pricerange price range,3
"thanks , that s all . goodbye .",2
i am looking for a particular restaurant . its name is called restaurant_name,3
i would like to book for value_people person at value_time on value_day please,5
what about we try booking for value_day ?,6
ok thank you that is all i needed .,2
i am looking for a place to dine . the restaurant should serve value_food food and should be in the value_area,3
"first , what is the address please ?",1
"thanks , what s the price range and phone number ?",1
thanks for your help,2
i am looking for a restaurant . the restaurant should be in the value_pricerange price range and should be in the value_area,3
i am looking for a restaurant . the restaurant should be in the value_pricerange price range and should be in the value_area . the restaurant should serve value_food food,3
yes please . can i get 1 for value_day at value_time for value_people ?,5
that should be it . thank you .,2
i am looking for a particular restaurant . its name is called restaurant_name,3
thank you for your help !,2
i am looking for a particular restaurant . its name is called restaurant_name,3
"yes please , value_people people at value_time on value_day . can you please provide me with the reference number ?",5
thank you for helping me book a table for value_people at restaurant_name and providing the reference number,5
i am looking for a place to dine .,3
"i like ethnic food , particularly value_food food .",3
the restaurant should be in the value_pricerange price range and should serve value_food food .,3
area does not matter to me . please book it for value_people people at value_time on value_day . i also need the reference number .,5
"yes , please book value_people people at value_time . i also need the reference number .",6
"thank you , goodbye !",2
are there any value_food restaurant -s there ?,3
i want to dine in the value_area .,3
i would prefer value_pricerange price range .,3
"no , i just need to know the postcode .",1
got everything . thanks . goodbye .,2
i would like to find a place to dine in the value_area that serves value_food food .,3
could you look for a restaurant that serves value_food food ?,4
ok . book for value_people people at 1215hrs,5
make the reservation for value_day please .,5
how about value_time on value_day ?,5
"no , that s all i need thanks !",2
"hi , i am trying to find a restaurant serving value_food cuisine , something value_pricerange please . what would you suggest ?",3
what area is that in please ? the format you sent that in is very confusing .,1
okay thank you for the help .,2
could you tell me where restaurant_name is located ?,1
great ! do you know what price range they are in ?,1
i am looking for an value_food restaurant in the value_area .,3
"yes , please . value_people person at value_time on value_day .",5
that was all . thanks !,2
can you help me find somewhere to eat in the value_area ?,3
no type of food but i would like it to be in the value_pricerange range please,3
thank you for your help,2
great towninfo service . goodbye .,2
i would like to find an value_pricerange place to dine that specifically serves value_food food .,3
i would like the value_area part of town please .,3
"yes , please . there are value_people of us for this value_day at value_time .",5
how about value_time instead ?,6
no that was everything i needed . thank you for your help !,2
i am looking for a restaurant . the restaurant should be in the value_area and should be in the value_pricerange price range,3
"i do not care , i want to book a table for value_people people at value_time on value_day .",5
thanks for your help .,2
thank you for your help,2
i am looking for an value_food restaurant in the value_area .,3
"how about a value_food food restaurant in the value_area , instead ?",4
"can you give me their phone number , address and price range , please ?",1
"great , thank you for the help .",2
i am looking for a place to dine . the restaurant should be in the value_pricerange price range and should serve value_food food,3
which area is it in ?,1
thank you for the help .,2
"yes , could you book me a table for value_people at value_time on value_day ?",5
"would you confirm this is an value_food restaurant , please ? it sounds like 1 .",1
"great , that is all i need today . thank you .",2
you are welcome and goodbye .,2
i am looking for a restaurant . the restaurant should be in the value_area and should serve value_food food,3
how about a restaurant that serves value_food food ?,4
"great , i would like a reservation for value_people people on value_day at value_time . please give me the reservation number .",5
thank you for your help,2
where in the value_area can i find a restaurant that serves value_food food ?,3
yes see if there are any value_food restaurant -s there,3
how about value_food food ?,4
i would like value_pricerange .,3
i am sorry to trouble you but is there an value_pricerange value_food restaurant in the value_area ? it would be more convenient .,4
"yes , book 1 of the value_pricerange value_food place -s in the value_area please .",5
i would like to go on value_day at value_time please .,5
it will be a party of value_people .,5
yes . please try value_time .,6
"thank you also . could i receive the reference number for the reservation , please ?",5
"no , thanks . that s everything .",2
can you help me find a value_food restaurant in the value_pricerange price range please ?,3
"yes , please . value_people people at value_time on value_day .",5
thank you for your help,2
i am looking for a restaurant that serves value_food food .,3
i am looking for an value_food restaurant in the value_area .,3
the restaurant should be in the value_pricerange price range,3
"in the value_area part of town , are there any upscale pricey restaurant -s ?",3
"i am not picky , do you have a favorite ? i would appreciate it if you would choose 1 for me and give me the address . thanks !",1
"great , i think that s everything i need . thank you for helping me .",2
i need to get to a restaurant known as restaurant_name,3
"thanks , please make a reservation there for value_people people at value_time on value_day .",5
i would like to find an value_pricerange restaurant in the value_area part of town .,3
the restaurant should serve value_food food .,3
i am looking for a place to dine . the restaurant should be in the value_area and should serve value_food food,3
"no , i am only interested in a restaurant that serves value_food food and is in the value_area .",3
how about value_food food ?,4
"no , i just need the postcode .",1
"no , you have been very helpful . thank you so much .",2
"i am looking for a restaurant , something value_pricerange -ly priced .",3
iam looking for something value_food and not so value_pricerange restaurant .,4
that would be great . i need to for value_people people at value_time on value_day . can you provide the reference number for the reservation ?,5
"thank you , that s all i need . goodbye .",2
i am looking for a particular restaurant . its name is called restaurant_name,3
"no , i just need to know the type of food they serve and the phone number .",1
"that s all , thank you !",2
i do not have a preference . what would you suggest and can you provide me with the address and phone number ?,1
"thanks , that s all . goodbye .",2
i am looking for a place to dine . the restaurant should be in the value_area and should serve value_food food,3
yes i need table for value_people people at value_time on value_day,5
"no , thanks for your help !",2
i would like to book a table for value_people at 12 on value_day .,5
"yes , i'll need the reference number of my reservation .",5
"thanks , that s all i need . goodbye .",2
help me find a restaurant called restaurant_name please,3
i would like to book a table for value_people people for value_day at value_time please .,5
"of course ! thanks , goodbye .",2
"i am looking for a restaurant , somewhere not too value_pricerange , but not bottom of the barrel either , something in the value_princerange .",3
how about value_food food ?,4
"yes please . book for value_people , at 1700hrs or 1600hrs and get me the reference number",5
on value_day please,5
that is all i need for today . thanks for your extraordinary service !,2
i want to eat at an value_pricerange value_food restaurant,3
"yeah , i need a reservation for value_people people on value_day at value_time please",5
the value_area of town would be best .,3
thank you so much . i do not think i need anything further .,2
i need a restaurant located in the value_area for a value_pricerange price .,3
i am looking just for any restaurant available for value_people people at value_time on value_day .,5
"no , that s all i need . thank you .",2
"alright , sounds good .",3
"no , that s all . thanks !",2
i am looking for an value_pricerange restaurant in the value_area .,3
"what kind of foods do they serve there ? and i would like an address and the postal code as well please . do you also have reviews of restaurant_name , from locals ?",1
okay thank you for your time .,2
"i am looking for an value_food restaurant in the value_area of town , could you provide me with some options to choose from please ?",3
"i would like a value_pricerange 1 , please .",3
what are the other 2 restaurant -s in this price range ?,0
yes please . what are the phone numbers of those place -s ?,1
"not now . thanks for your help , goodbye .",2
do you have any value_food restaurant -s ?,4
i was hoping for an value_pricerange restaurant .,3
"can i book at the restaurant_name for value_people people , at value_time on value_day please ?",5
thank you ! cannot wait !,2
that s all i needed . thanks,2
i am looking for a value_food restaurant in the value_area .,3
how about an value_food restaurant then ?,4
"oh , no , but i do need the postcode address and number .",1
that s everything i wanted to find out thanks .,2
hi ! are there any value_pricerange value_food restaurant -s in town ?,3
are there any value_pricerange value_food restaurant -s in town ?,4
i'll take a table for value_people at value_time value_day at restaurant_name .,5
can i get a table at value_time instead ?,6
"excellent , thank you !",2
"no , that will be all . thanks again . bye .",2
"i would like a restuarant with value_food food located in the value_area , please .",3
that sounds perfect . i do not need a reservation though .,5
"yes , could you just give me the contact information for the restaurant ? phone , address and postcode ?",1
"no , i think that s all i need . thanks !",2
i am looking for a restaurant in the value_area of town with a modest price range . can you recommend 1 ?,3
that sounds great . can i reserve a table for value_people at value_time on value_day ?,5
okay let s try value_time instead .,6
that is wonderful . thank you for your help . have a great day .,2
"there is nothing else . again , thank you . goodbye .",2
hi ! do you have any value_food food on the value_area side ?,3
"no , i do not , any place will do . i would like to find a table for value_people at value_time on value_day .",5
"ok , how about value_time , also i would like to know the name of the restaurant .",6
okay that is wonderful . that is all i need .,2
"no , that s all i need , thank you for your help .",2
i need a value_pricerange -ly priced restaurant that serves value_food food .,3
"oh , okay . well , i guess i would like to find a restaurant that serves value_food food . is there such a place available ?",4
"no , i do not .",3
"no , that would be it . thanks . have a nice day .",2
hi ! can you give me some information on the restaurant_name restaurant ?,1
"great , thanks ! that s all i needed !",2
can you help me find a restaurant that serves value_food food and is value_pricerange ?,3
do you have any value_food restaurant -s ?,4
i do not . is there 1 you can recommend ?,3
"any part of town is fine , i just need the address and postcode of 1 you would recommend .",1
"no , not yet , i just wanted the info . thanks .",2
how about any restaurant -s that serves value_food food .,3
"ok , well what do we have in the value_area area ?",3
how about a value_pricerange value_food restaurant ?,4
what about the postcode and the address ?,1
"i am looking for a restaurant that serves value_food value_food food , that s not too value_pricerange or too value_pricerange .",4
"great that would be perfect for me , can you provide me with booking options for that restaurant ?",5
"actually , i do not need booking . i just need the postcode , address , and phone number .",5
that is all i needed . thank you . goodbye .,2
i am looking to find a place to eat in the value_area of town that needs to have a value_pricerange price range . can you give me some options ?,3
is there a value_food option ? i am really craving some value_food right now .,3
can you please get me a reservation at restaurant_name for tonight at value_timem ?,5
"actually , can i just get the address there for now please ?",1
that s all i need . thanks for your help !,2
i am looking for an inexpensive restaurant in the value_area section of cambridge .,3
i would actually prefer some value_pricerange value_food food if possible ?,3
"ok , maybe we can try the value_food 1 you mentioned .",4
"nope , that is all i needed . thank you so much !",2
something value_pricerange -ly priced would be great .,3
yes i need a table for value_people on value_day .,5
1630 please .,3
thank you . i think that s everything i need .,2
can you tell me about the restaurant_name ?,1
can you make reservations for value_people at value_time on value_day ?,5
you have been very helpful . thank you . goodbye .,2
hi ! i would like to find an value_pricerange value_food restaurant to dine at .,3
is restaurant_name in the value_area ?,3
"i am not looking for a reservation at the moment . can i just get the phone number , postcode , and address ? thanks !",5
"no , that s all i need . thanks for your help .",2
i am looking for an value_pricerange value_food value_food place in the value_area .,4
how about a value_food restaurant ?,4
i would like a reservation for value_people to the restaurant_name .,5
"i would like to make a reservation for value_day at value_time . and there has been a change in plans , i will be dining alone .",5
excellent . that is everything !,3
i would like to stay in the value_area please .,3
could you reserve a table for value_people at restaurant_name . i need it for value_day at value_time .,5
"thank you so much , that is all that i needed !",2
looking for a restaurant in the value_area side that serves value_food food .,3
will you look for value_food food in the value_area ?,4
would value_time on the same day work ?,6
thanks !,2
"i am looking for an value_pricerange value_food place to eat , can you help me find 1 ?",3
are there any value_food food joints ?,4
"yes , please book a table for value_people on value_day .",5
make it for value_time and please give me a reference number .,5
"yes , can i please have the reference number as well for the booking ?",5
"no that is all , thank you very much .",2
hi i am looking for an value_pricerange restaurant on the value_area side of town . can you help me ?,3
"no , that s all i needed , thank you .",2
i am looking for a restaurant called restaurant_name .,3
could you see if you can get me a table for value_people there at value_time on value_day ?,5
"thank you for reserving it , and just to make sure . . can you please confirm the time and date of the booking ?",5
"yes , that s correct . thank you .",2
"no , that s it . thanks for your help !",2
i need a value_pricerange value_food restaurant . are there any value_area ?,3
i would like a restaurant in the value_area .,4
great . can you book me a table for value_people on value_day at value_time and provide me with a reference number ?,5
"hey , do you know any restaurant -s near me in the city ?",3
i am looking to eat at a value_area restaurant in the value_pricerange price range .,3
thank you so much ! that s all i needed .,2
no thank you . have a great day !,2
"i am trying to find an value_food restaurant that can provide me with some unique fine dining . i expect this to be value_pricerange , can you give me some options ?",3
can you recommend me 1 that s value_pricerange ? and book the table for value_people people at value_time on value_day . thanks !,5
thank you so much . have a great day !,2
i am looking for a place to dine . i would like value_food food in the value_pricerange price range .,3
is it in the value_area area ?,1
yes please . i would like to book a table for value_people people on value_day at value_time .,5
that s great can you give me the reference number ?,1
thats all thanks for great service !,2
"i am looking for something in the fine dining price range , so the place should be value_pricerange . are there any that fit that criteria ?",3
"that sounds good . may i have their postcode , address , and phone number ?",1
"no , that s fine .",3
"no , i think that s everything . thank you .",2
how about the value_area ?,3
"that sounds good . no i do not need a reservation , but could you tell me the postcode ?",5
can you help me find a restaurant that serves value_food food with a value_pricerange price range please,3
yes how about value_food food in the same price range ?,4
will you please book a table for value_people at value_time on value_day ?,5
that s all i needed . thanks a lot for the help !,2
will do .,3
i am looking for a place serving value_food food in the value_area of town .,3
do you have any value_food restaurant -s ?,4
i actually would prefer value_food type food and preferably in the value_pricerange price range .,4
i am looking for a value_food restaurant in the value_area .,3
how about 1 that serves value_food food instead ?,4
i am looking for meal -s under 30$ a person . i need to book for value_people at value_time on value_day .,5
yes please and i will need a reference number .,1
"hey , are there any value_pricerange restaurant -s in the value_area ?",3
"great that s all the information i needed today , thank you !",2
same to you ! goodbye .,2
i want a restaurant that serves value_food food .,3
are there any value_food restaurant -s ?,4
"yes , please book it for value_area value_time for value_people people",5
"actually , scratch that , i do not want to book the restaurant . could you give me the phone number for the restaurant_name ?",5
can you give me the address and postcode as well ?,1
i am looking for an value_pricerange value_food restaurant . can you help me with that ?,3
i am going to be on the value_area side of town and would like a recommendation to a high end restaurant for dinner .,3
"no , i do not have a preference .",3
"sure , can you please book a table for value_people in the evening",5
"for value_people people at value_time on value_day . i would also like the booking reference number , please .",5
"great , thanks a lot !",2
"no , that s all . thank you .",2
"i am looking for a place to eat in the value_area , value_food food please .",3
"yes , that sounds great !",3
"could you give me the address , phone number , and postcode ?",1
"no , that is all i need today .",2
i need a place to eat in the value_area that serves value_food food .,3
i would like restaurant_name . what is the postcode ?,1
i do not need anything else at this time . thank you . goodbye .,2
i am looking for a value_food restaurant in city value_area .,3
is that in the value_pricerange price range ?,1
could i have their phone number and address ?,1
i would like their address please .,1
"i would like to find a place to eat on the value_area side . something value_pricerange -ly priced , please .",3
do any of those serve value_food food ?,3
"no , that should be all . thank you so much for your assistance !",2
i would like a restuarant in the value_area with value_pricerange food .,3
"surprise me , i just want something pricey to impress my friends . it'll be a party of value_people .",5
how about value_day at value_time .,5
thank you so much . that is all i will be needing today . have a nice evening .,2
hi ! are there any restaurant -s in town that serve value_food food ?,3
"if there are no value_food place -s in the value_area , what about value_pricerange place -s to eat ?",3
could you give me their address ?,1
"thank you , that is all i will need today .",2
i want to find a value_pricerange -ly priced restaurant in the value_area .,3
yes please . i need a table for value_people at value_time on a value_day .,5
"i guess we could move it an hour earlier , if that s better ?",6
that s all i needed . thanks for your help .,2
i need to find an value_food place to eat . hopefully with value_pricerange price -s .,3
"no , just pick me 1 you think would be good to go to and please provide me with an address to that location .",1
thanks so much for the info . i will pay them a visit . have a nice day .,2
what is the price range ?,1
"thanks , that s all i need . have a nice day .",2
i need an value_food restaurant in the value_area .,3
"i would like it to be in the value_pricerange range of food , is that place value_pricerange ?",1
could you give me the phone number and postcode ?,1
great . thank you ! that is all i need .,2
i am trying to find a value_pricerange value_food restaurant to have dinner at tonight . what kind of options are available for me ?,1
"actually , can you suggest 1 of them . can i get their contact info as well ?",3
"no , that s ok , i can take it from here . thank you for all your help .",2
are there any value_pricerange -ly priced restaurant -s serving value_food food ?,3
what is the address of the restaurant_name ?,1
what is their phone number ?,1
not at the moment but i would also like their address and postcode .,1
"great , thanks very much !",2
"no , thank you . that is all .",2
"hi ! i would like to find a value_food restaurant in the value_area of town , please .",3
is it an value_pricerange restaurant ? i am really looking to break the bank here .,1
"perfect , yes please book a table for value_people people at value_time on value_day . can i also have a reference number ?",5
i am looking for a place to eat at that is value_pricerange and serves food with afternoon tea .,3
"no thanks . instead , could you tell me where to get value_food food ?",1
"the value_people in the value_area is fine , i would like a table for value_people at value_time value_day please .",5
can you make sure that s an value_pricerange restaurant ?,1
can you book me a table for value_people people at value_time on value_day ?,5
thanks so much !,2
are there any value_food food place -s in the value_area part of town ?,3
are you sure ? i am really looking for an value_pricerange value_food place to dine in the value_area .,3
"no , lets keep the same area but see if there might be an value_food restaurant instead .",4
can you see if a table is available at value_time ?,6
great thank you for your help today .,2
"no , that s it for today . goodbye .",2
"any where , i would just like it to be restaurant_name . i would like to book a table .",5
"value_people people , value_day , value_time . but value_time is also okay . please give me the reference number .",6
"no , i think that covers it . thanks so much for your help !",2
i am looking for a restaurant that serves value_food food in the value_area .,3
what about a restaurant that serves value_food food ?,4
"can i get a table for value_people at the restaurant_name ? value_day at value_time , if possible .",5
excellent . that will be everything . thank you !,2
are there any restaurant -s in town that serve value_food food ?,3
what about any value_pricerange restaurant -s with value_food value_food food in the value_area of town ?,4
sure how about value_food ?,4
the restaurant sounds good . please book a table for value_day at value_time for value_people people .,5
that will be all . thank you . goodbye !,2
i would like to eat in the value_area of town at a value_pricerange place .,3
how about value_food ? i would like to book a table for value_people at value_time on value_day .,5
nope that s all i needed ! thanks !,2
"i am looking for an value_pricerange restaurant for tonight in the value_area of town , can you provide me with a list of my options ?",3
may i have the postcode to restaurant_name please ?,1
that s all that i needed thank you !,2
"good morning , can you help me locate a value_pricerange priced restaurant in the value_area part of town please ?",3
"sure , may i have their address please ?",1
"hi ! i am looking for a value_pricerange restaurant in the value_area , any type !",3
how about at value_time ?,6
i am looking for a value_pricerange -ly priced value_food restaurant,3
"yes , could you look for a value_food restaurant instead ?",4
thank you . have a lovely day .,2
i am looking for an value_pricerange restaurant in the value_area of town .,3
what are the different food types of these restaurant -s ?,0
not actually . i will not be needing anything else at this time . thank you . goodbye .,2
that s all i need from you today . thanks .,2
thank you for your help,2
i am looking for a value_pricerange restaurant in the value_area .,3
"yes , may i have the address , postcode , and phone number for restaurant_name ? i'll book it myself .",5
"thanks , that s all i need . have a nice day .",2
i am looking for a restaurant .,3
i'll take something that is value_pricerange .,3
"okay , that sounds good . i need to make a reservation for value_people people on value_day .",5
how about value_time ?,5
"that s great , thank you .",2
i am looking for value_pricerange value_food food .,3
how about the value_area ? could you give me their postcode and telephone number ?,1
that will be fine as long as it s value_pricerange . can you tell me the postcode and phone number ?,1
"no , i do not need anything else at the moment .",0
not in any specific area please . i need to book a table for value_people at value_time on value_day .,5
how about value_time then ?,6
what is the reference number for my booking ?,5
the area does not matter . the restaurant_name sounds good . please book a table for value_people people at value_time on value_day .,5
okay thank you . that will be all .,2
i need a value_pricerange -ly priced restaurant in the value_area .,3
can i get the food type and postcode of 1 you would recommend ?,1
